Conta Gerencial;Exemplo de Uso
DA Bens de Pequeno Valor;PILHA SUPER MAXPRINT AAA TUBO 1,5V
DA Bens de Pequeno Valor;PILHA ALCALINA MAX AAA PAL C/2
DA Bens de Pequeno Valor;MOUSE S/FIO RC/NANO
DA Brindes;material de brinde para feira industrial
DA Brindes;kit de boas-vindas para visitantes
DA Café;CHALEIRA ELETRICA
DA Café;BOMBOM CAIXA
DA Café;CAFE PACAEMBU
DA Café;AÇUCAR CRISTAL 5 KILOS
DA Café;COPO PLASTICO 180 ML 100 UND ECOCOPO
DA Café;BOMBOM CAIXA
DA Café;CAPSULA DOLCE GUSTO C/10 CAFE MATINAL
DA Café;CAFE PACAEMBU
DA Café;AÇUCAR CRISTAL 5 KILOS
DA Café;BOMBOM CAIXA
DA Café;CAFE 3 CORACOES
DA Café;AÇUCAR CRISTAL 5 KILOS
DA Café;FILTRO PAPEL MELITTA 103 C/30
DA Café;COPO PLASTICO 180 ML 100 UND ECOCOPO
DA Café;CAFE RISTRETTO NEW SKU
DA Café;CANECA NOMAD MUG
DA Café;COPO PLASTICO 180 ML 100 UND ECOCOPO
DA Café;CAFE PACAEMBU
DA Café;AÇUCAR CRISTAL 5 KILOS
DA Café;FILTRO PAPEL MELITTA 103 C/30
DA Café;BOMBOM CAIXA
DA Café;FILTRO PAPEL MELITTA 103 C/30
DA Café;FILTRO PAPEL MELITTA 103 C/30
DA Café;CAFE PACAEMBU
DA Café;AÇUCAR CRISTAL 5 KILOS
DA Café;COPO PLASTICO 180 ML 100 UND ECOCOPO
DA Café;AÇUCAR CRISTAL 5 KILOS
DA Café;CAFE PACAEMBU
DA Café;FILTRO PAPEL MELITTA 103 C/30 
DA Café;CAPSULA DOLCE GUSTO C/10 CAFE MATINAL
DA Café;CAFE PACAEMBU
DA Café;AÇUCAR CRISTAL 5 KILOS
DA Café;COPO PLASTICO 180ML 100 UN TOTALPLAST
DA Café;COPO PLASTICO 80ML 100 UN SUPER PREMIUM
DA Café;COPO PLASTICO 180 ML 100 UND ECOCOPO
DA Café;BR COTTON POUCH
DA Café;VOLLUTO pRedBC = 61,11%
DA Café;COSI NEW SKU  pRedBC = 61,11%
DA Café;MO COLOMBIA pRedBC = 61,11%
DA Café;LIVANTO pRedBC = 61,11%
DA Café;ROMA  NEW SKU pRedBC = 61,11%
DA Café;CAFE RISTRETTO NEW SKU pRedBC = 61,11%
DA Café;VIENNA LUNGO pRedBC = 61,11%
DA Café;ARPEGGIO NEW SKU pRedBC 61,11%
DA Café;CAFE DOLCE GUSTO CAPS 10 UN CAFE MATINAL
DA Café;FILTRO PAPEL MELITTA 103 C/30
DA Café;MARGARINA DORIANA 1 KG ECO
DA Café;CAFE PACAEMBU 500 G EXTRA FORTE
DA Café;BOMBOM CAIXA
DA Café;AGUA MINERAL PLATINA COM GAS 510 X 12 UNIDADES
DA Contabilidade;SERVIÇOS PRESTADOS EM CONTABILIDADE
DA Contabilidade;PRESTAÇÃO DE SERVIÇO CERTIFICADO DIGITAL DAS EMPRESAS GHB EMP / JRS HOLDING
DA Contabilidade;ALTERAÇÃO CONTRATUAL DAS EMPRESAS SBF,GHB E JRS
DA Contabilidade;SERVIÇOS PRESTADOS EM CONTABILIDADE
DA Contabilidade;SERVIÇOS PRESTADOS EM CONTABILIDADE
DA Contabilidade;SERVIÇOS PRESTADOS EM CONTABILIDADE
DA Contabilidade;SERVIÇOS PRESTADOS EM CONTABILIDADE
DA Contabilidade;PRESTAÇÃO DE SERVIÇO
DA Contabilidade;PRESTAÇÃO DE SERVIÇO
DA Contabilidade;SERVIÇOS PRESTADOS EM CONTABILIDADE
DA Contabilidade;PRESTAÇÃO DE SERVIÇO
DA Contabilidade;SERVIÇOS PRESTADOS EM CONTABILIDADE
DA Contabilidade;PRESTAÇÃO DE SERVIÇO
DA Contabilidade;PRESTAÇÃO DE SERVIÇO
DA Contabilidade;PRESTAÇÃO DE SERVIÇO
DA Contabilidade;PRESTAÇÃO DE SERVIÇO
DA Contabilidade;SERVIÇOS PRESTADOS EM CONTABILIDADE
DA Contabilidade;PRESTAÇÃO DE SERVIÇO
DA Contabilidade;SERVIÇOS PRESTADOS EM CONTABILIDADE
DA Contabilidade;PRESTAÇÃO DE SERVIÇO
DA Contabilidade;PRESTAÇÃO DE SERVIÇO
DA Contabilidade;SERVIÇOS PRESTADOS EM CONTABILIDADE
DA Contabilidade;PRESTAÇÃO DE SERVIÇO
DA Contabilidade;PRESTAÇÃO DE SERVIÇO DE CONTABILIDADE
DA Contabilidade;PRESTAÇÃO DE SERVIÇO EM CONTABILIDADE
DA Contabilidade;PRESTAÇÃO DE SERVIÇO EM CONTABILIDADE
DA Contabilidade;PRESTAÇÃO DE SERVIÇO EM CONTABILIDADE
DA Contabilidade;PRESTAÇÃO DE SERVIÇO - SERVIÇO DE CONTABILIDADE
DA Contabilidade;PRESTAÇÃO DE SERVIÇO - SERVIÇO DE CONTALIDADE
DA Contabilidade;PRESTAÇÃO DE SERVIÇO - SERVIÇO DE CONTABILIDADE
DA Despesas de Uso/Consumo;CRISANTEMOS DE VASO
DA Despesas de Uso/Consumo;PRESTAÇÃO DE SERVIÇO
DA Despesas de Uso/Consumo;CADEADO PADO HASTE NORMAL25 MM ( ARMARIO FUNCIONARIO )
DA Despesas de Uso/Consumo;SACO PLASTICO ZIP N 03 07X10,5X0,08 C /100
DA Despesas de Uso/Consumo;SACO ZIP N 3 7X10X0,08 100UN
DA Despesas de Uso/Consumo;PULVERIZADOR MANUAL 20 LITROS
DA Despesas de Uso/Consumo;CORRENTE ZEBRADA 100 M
DA Despesas de Uso/Consumo;KIT 6 P/S ETQ SELO BOLINHA 6 CORES 15 MM 1,5 CM 100 UNID P/RL
DA Despesas de Uso/Consumo;CANUDO BIO SACHE COMUM 5MM 100UN STRAWPLAST
DA Despesas de Uso/Consumo;CADEADO 40 MM
DA Despesas de Uso/Consumo;CAPA TPU+ PELICULA 3D PARA SAMSUNG A15
DA Despesas de Uso/Consumo;AR SOLID MIG 1MM
DA Despesas de Uso/Consumo;COPO PLASTICO 180 ML 100 UND ECOCOPO
DA Despesas de Uso/Consumo;COPO PLASTICO 80ML 100UN TERMOPOT
DA Despesas de Uso/Consumo;PLACA TIPO R1
DA Despesas de Uso/Consumo;PLACA TIPO R19
DA Despesas de Uso/Consumo;PLACA LOGRADOURO
DA Despesas de Uso/Consumo;CADEADOS LATAO 25MM
DA Despesas de Uso/Consumo;MAZA DEMARCACAO AMARELO
DA Despesas de Uso/Consumo;MAZA DEMARCACAO BCA AMARELO
DA Despesas de Uso/Consumo;GARFO PARA ROLOS
DA Despesas de Uso/Consumo;ROLO DE LA 328
DA Despesas de Uso/Consumo;ROLO DE LA 23CM
DA Despesas de Uso/Consumo;PORTA FOLHA A4 PAREDE
DA Despesas de Uso/Consumo;PARAFUSO SEXTAVADO
DA Despesas de Uso/Consumo;PORCA SEXTAVADA 1/4
DA Despesas de Uso/Consumo;ARRUELA LISA
DA Despesas de Uso/Consumo;PARAFUSO FR C P 3/8
DA Despesas de Uso/Consumo;ARRUELA LISA ZINCADOO 3/8
DA Despesas de Uso/Consumo;CAPA DE CELULAR
DA Despesas de Uso/Consumo;SUPORTE DE PAREDE PARA MONITOR
DA Despesas de Uso/Consumo;SUPER IMA
DA Despesas de Uso/Consumo;SUPORTE TV FIXO
DA Despesas de Uso/Consumo;PRESTAÇÃO DE SERVIÇO - PLACAS E ADESIVOS PARA SINALIZAÇÃO DA EMPRESA
DA Despesas de Uso/Consumo;LIXEIRA BASCULANTE 45 LITROS
DA Despesas de Uso/Consumo;LIXEIRA 9 LITROS
DA Despesas de Uso/Consumo;LIXEIRA 40 LITROS
DA Despesas de Uso/Consumo;FRASCO COM VALVULA
DA Despesas de Uso/Consumo;PORTA COPOS AGUA EASY
DA Despesas de Uso/Consumo;TOALHEIRO
DA Despesas de Uso/Consumo;SABONETEIRA
DA Despesas de Uso/Consumo;LIXO 100 LITROS
DA Despesas de Uso/Consumo;PA DE LIXO
DA Despesas de Uso/Consumo;LIXO 14 LITROS
DA Despesas de Uso/Consumo;LIXO 28 LITROS
DA Despesas de Uso/Consumo;VASSOURA
DA Despesas de Uso/Consumo;COPO PLASTICO 180 ML 100 UND ECOCOPO
DA Despesas de Uso/Consumo;NOBREAK
DA Despesas de Uso/Consumo;CAPA CELULAR
DA Despesas de Uso/Consumo;CAPA CELULAR
DA Doação;CESTA BASICA
DA Doação;CESTA BASICA
DA Doação;CESTA BASICA
DA Doação;CESTA BASICA
DA Doação;CESTA BASICA
DA Doação;CESTA BASICA
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA 
DA Doação;ITEM  - CESTA BASICA
DA Doação;CESTA BASICA 
DA Doação;CESTA BASICA 
DA Doação;CESTA BASICA 
DA Doação;CESTA BASICA 
DA Doação;CESTA BASICA 
DA Doação;CESTA BASICA 
DA Doação;CESTA BASICA 
DA Doação;CESTA BASICA 
DA Doação;CESTA BASICA 
DA Doação;CESTA BASICA 
DA Doação;CESTA BASICA 
DA Doação;CESTA BASICA 
DA Doação;CESTA BASICA 
DA Doação;CESTA BASICA 
DA Doação;CESTA BASICA 
DA Internet e Telefonia;SIM CARD AVULSO 
DA Internet e Telefonia;SIM CARD AVULSO 
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO DE COMUNICAÇÃO (INTERNET)
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO DE COMUNICAÇÃO MULTIMIDIA
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO
DA Internet e Telefonia;TELEFONE
DA Internet e Telefonia;TELEFONE
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO - INTERNET
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO DE COMUNICAÇÃO MULTIMIDIA
DA Internet e Telefonia;TELEFONE
DA Internet e Telefonia;TELEFONE
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO - TROCA DOS RAMAIS FISCAL
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO - INTERNET
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO COMUNICAÇÃO MULTIMÍDIA
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO
DA Internet e Telefonia;TELEFONE
DA Internet e Telefonia;TELEFONE
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO - INTERNET
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇO - FATURA INTERNET
DA Internet e Telefonia;TELEFONE
DA Internet e Telefonia;TELEFONE
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇOS EM SISTEMAS TELEFONICA IOT
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇOS EM SISTEMAS TELEFONICA IOT
DA Internet e Telefonia;PRESTAÇÃO DE SERVIÇOS EM SISTEMAS TELEFONICA IOT
DA Internet e Telefonia;ATIVAÇÃO DE LINHA
DA Internet e Telefonia;ATIVAÇÃO DE LINHA
DA Internet e Telefonia;ATIVAÇÃO DE LINHA
DA Manutenção Predial;SERVIÇO DE LOCAÇÃO CAÇAMBA
DA Manutenção Predial;SERVIÇO DE LOCAÇÃO CAÇAMBA
DA Manutenção Predial;SERVIÇO DE LOCAÇÃO CAÇAMBA
DA Manutenção Predial;CONE SINALIZAÇÃO PVC - 50 CM P/A
DA Manutenção Predial;CORRENTE PLASTICA PTA/AMARELA G.
DA Manutenção Predial;SERVIÇO DE LOCAÇÃO CAÇAMBA
DA Manutenção Predial;CANALETA P/ PAINEL ABERTA
DA Manutenção Predial;ACRILICO FUTURA FOSCO GELO
DA Manutenção Predial;GARFO PARA ROLOS
DA Manutenção Predial;PAPEL MASCARAUTO
DA Manutenção Predial;ROLO DE LA
DA Manutenção Predial;PINCEL TRINCHA 
DA Manutenção Predial;SISTEMA X CAIXA MODULOS LIZ FLEX TRAMON
DA Manutenção Predial;MODULO TOMADA 2P+T 10A LIZ TRAMONTINA
DA Manutenção Predial;MODULO CEGO LIZ TRAMONTINA
DA Manutenção Predial;CANALETA SEM DIVISORIA 20X10X2
DA Manutenção Predial;BUCHA TJ BAIANO 08 C PARAFUSO
DA Manutenção Predial;CANALETA SEM DIVISORIA 20X10X2
DA Manutenção Predial;LAMPADA TUBOLED 18W BIC PHILBRA
DA Manutenção Predial;MODULO RJ45 TRAMONTINA
DA Manutenção Predial;SISTEMA X CAIX 1 MODULO
DA Manutenção Predial;CONECTOR RJ45
DA Manutenção Predial;BLOCO CONTATO P BOTAO
DA Manutenção Predial;BOTAO IMPULSO PRETO COMPLETO
DA Manutenção Predial;BOTAO IMPULSO VERMELHO COMPLETO
DA Manutenção Predial;PRESTAÇÃO DE SERVIÇO
DA Manutenção Predial;KIT 6 REFLETOR LED HOLOFOTE
DA Manutenção Predial;ROLO 1376 ANTI RESPINGO TIGRE
DA Manutenção Predial;TRINCHAS 417
DA Manutenção Predial;PARAFUSO MAQ CABEÇA CHATA 1/4X1
DA Manutenção Predial;PORCA SEXT. SIMPLES NC ZIN 1/4
DA Manutenção Predial;BROCA SDS PLUS 25 MM X 260 MM
DA Manutenção Predial;BUCHA DE NYLON S 10
DA Manutenção Predial;FITA ISOLANTE 3M IMPERIAL 20 MTS
DA Manutenção Predial;ABRAÇADEIRA NYLON 3,6 X 350 MM BRANCA PCTE 200 UNI
DA Manutenção Predial;CANALETA DIVISORIA 20X 10X 2 MT
DA Manutenção Predial;TERMINAL PRE ISOLADO FEMEA 2,5 MM
DA Manutenção Predial;L P/CANALETA 90 COTOVELO
DA Manutenção Predial;LAMPADA REFLETORA ESPELHADA
DA Manutenção Predial;KIT 6 REFLETOR DE LED HOLOFOTE 200W
DA Manutenção Predial;LUVA SOLDAVEL PVC
DA Manutenção Predial;JOELHO PVC
DA Manutenção Predial;CURVA PVC
DA Manutenção Predial;LUVA SOLDAVEL PVC
DA Manutenção Predial;ENGATE RAPIDO
DA Manutenção Predial;ACRILICO FUTURA FOSCO BRANCO
DA Manutenção Predial;BANDEJA 1523 ATLAS
DA Manutenção Predial;EXTENSOR 1308 2,7 METROS
DA Manutenção Predial;GARFO303  P/ ROLO S/ ROSCA ATLAS
DA Manutenção Predial;ACRILICO TRADIÇÃO LUKSCOLOR ELEFANTE
DA Manutenção e Limpeza;PAPEL HIGIENICO
DA Manutenção e Limpeza;BOM AR FLOR DE ALGODAO 360 ML
DA Manutenção e Limpeza;CLORO GEL 5 LITROS
DA Manutenção e Limpeza;DESINFETANTE BARBAREX EUCALIPTO 5 LITROS
DA Manutenção e Limpeza;DESINFETANTE WILLY TALCO
DA Manutenção e Limpeza;EMBALAGEM PLASTICA PRETO 20 LT C/100 UND
DA Manutenção e Limpeza;LUSTRA MOVEIS KING PEROBA  LAVANDA 500 ML
DA Manutenção e Limpeza;ROLO PERFLEX 300 MM X 28 CM AZUL
DA Manutenção e Limpeza;PAPEL TOALHA INTERFOLHA BRANCO
DA Manutenção e Limpeza;PASTILHA ADESIVA START LAVANDA C/3
DA Manutenção e Limpeza;SABAO EM BARRA YPE 5 UNID PCT
DA Manutenção e Limpeza;SABONETE LIQUIDO
DA Manutenção e Limpeza;PANO DE CHAO XADREZ (GRANDE)
DA Manutenção e Limpeza;SAPONECEO CREMOSO LAVANDA 300 ML
DA Manutenção e Limpeza;TIRA LIMO AZULIM 500 ML
DA Manutenção e Limpeza;VASSOURA SINTETICA P-10
DA Manutenção e Limpeza;VEJA GOLD MULTIUSO ORIGINAL 500 ML
DA Manutenção e Limpeza;SACO LIXO 1 KILO 100 LT
DA Manutenção e Limpeza;PAPEL HIGIENICO
DA Manutenção e Limpeza;SERVIÇO DE LOCAÇÃO CAÇAMBA
DA Manutenção e Limpeza;EPOCLER
DA Manutenção e Limpeza;NEOSALDINA
DA Manutenção e Limpeza;DORFLEX
DA Manutenção e Limpeza;BAND AID TRANSPARENTE
DA Manutenção e Limpeza;ESPARADRAPO
DA Manutenção e Limpeza;SACO LIXO 1 KILO 100 LT
DA Manutenção e Limpeza;BOM AR FLOR DE ALGODAO 360 ML
DA Manutenção e Limpeza;DESINFETANTE BARBAREX EUCALIPTO 5 LITROS
DA Manutenção e Limpeza;EMBALAGEM PLASTICA PRETO 20 LT C/100 UND
DA Manutenção e Limpeza;ROLO PERFLEX 300 MM X 28 CM AZUL
DA Manutenção e Limpeza;PAPEL TOALHA INTERFOLHA BRANCO
DA Manutenção e Limpeza;PASTILHA ADESIVA START LAVANDA C/3
DA Manutenção e Limpeza;SABAO EM BARRA YPE 5 UNID PCT
DA Manutenção e Limpeza;PANO DE CHAO XADREZ (GRANDE)
DA Manutenção e Limpeza;SAPONECEO CREMOSO LAVANDA 300 ML
DA Manutenção e Limpeza;TIRA LIMO AZULIM 500 ML
DA Manutenção e Limpeza;VEJA GOLD MULTIUSO ORIGINAL 500 ML
DA Manutenção e Limpeza;CLORO GEL 5 LITROS
DA Manutenção e Limpeza;DETERGENTE
DA Manutenção e Limpeza;DESINFETANTE WILLY TALCO
DA Manutenção e Limpeza;PAPEL HIGIENICO
DA Manutenção e Limpeza;PAPEL HIGIENICO
DA Manutenção e Limpeza;REVIDEX PISOS PEDRAS ANTIDERRAPANTES 5 LT
DA Manutenção e Limpeza;BOM AR FLOR DE ALGODAO 360 ML
DA Manutenção e Limpeza;DESINFETANTE BARBAREX EUCALIPTO 5 LITROS
DA Manutenção e Limpeza;DESINFETANTE WILLY TALCO
DA Manutenção e Limpeza;EMBALAGEM PLASTICA PRETO 20 LT C/100 UND
DA Manutenção e Limpeza;PANO MULTIUSO PERFLEX
DA Manutenção e Limpeza;PASTILHA ADESIVA START LAVANDA C/3
DA Manutenção e Limpeza;SABAO EM BARRA YPE 5 UNID PCT
DA Maquinas e Equipamentos de Informatica;SWITCH 8 PORTAS 10/100/100
DA Maquinas e Equipamentos de Informatica;TECLADO E MOUSE SEM FIO
DA Maquinas e Equipamentos de Informatica;MOUSE OTICO SEM FIO
DA Maquinas e Equipamentos de Informatica;SWITCH 8 PORTAS 10/100/100
DA Maquinas e Equipamentos de Informatica;SUPORTE TELA MONITOR
DA Maquinas e Equipamentos de Informatica;SSD UN SOLIDA ARMAZENAMENTO MEMORIA
DA Maquinas e Equipamentos de Informatica;FONE DE OUVIDO INTRA EH 104 PRETO LECOO
DA Maquinas e Equipamentos de Informatica;PLACA 8RAP
DA Maquinas e Equipamentos de Informatica;SMARTPHONE SAMSUNG GALAXY A15
DA Maquinas e Equipamentos de Informatica;SMARTPHONE SAMSUNG GALAXY A15
DA Maquinas e Equipamentos de Informatica;ROTEADOR
DA Maquinas e Equipamentos de Informatica;ROTEADOR
DA Maquinas e Equipamentos de Informatica;MEMORIA RAM
DA Maquinas e Equipamentos de Informatica;MONITORES TV/ PC
DA Maquinas e Equipamentos de Informatica;ESTABILIZADOR
DA Maquinas e Equipamentos de Informatica;TECLADO E MOUSE SEM FIO MICROSOLT DESKTOP 2000
DA Maquinas e Equipamentos de Informatica;CARREGADOR BATERIA HYC015
DA Maquinas e Equipamentos de Informatica;GABINETE PC C/FONTE
DA Maquinas e Equipamentos de Informatica;SWITCH 8 PORTAS 10/100/100
DA Maquinas e Equipamentos de Informatica;CELULAR - GALAXY A15 (128GB)
DA Maquinas e Equipamentos de Informatica;NOBREAK
DA Maquinas e Equipamentos de Informatica;PEN DRIVE
DA Maquinas e Equipamentos de Informatica;TECLADO E MOUSE SEM FIO
DA Maquinas e Equipamentos de Informatica;CABO HDMI
DA Maquinas e Equipamentos de Informatica;TECLADO E MOUSE SEM FIO
DA Maquinas e Equipamentos de Informatica;MONITORES TV/ PC
DA Maquinas e Equipamentos de Informatica;MONITORES TV/ PC
DA Maquinas e Equipamentos de Informatica;CELULAR DESBLOQUEADO SANSUMG GALAXY A14 2G 128 GB PRETO
DA Maquinas e Equipamentos de Informatica;MOUSE
DA Maquinas e Equipamentos de Informatica;TECLADO
DA Maquinas e Equipamentos de Informatica;COBRA HEADSET
DA Maquinas e Equipamentos de Informatica;CABO DE FORÇA
DA Maquinas e Equipamentos de Informatica;CELULAR DESBLOQUEADO SANSUMG GALAXY A14 2G 128 GB PRETO
DA Maquinas e Equipamentos de Informatica;TELEFONE PLENO
DA Maquinas e Equipamentos de Informatica;MONITORES TV/ PC
DA Material Escritório;MOUSE OTICO SEM FIO 5 BOTOES MAX PRINT
DA Material Escritório;FONTE PARA NOTEBOOK HP 19V 90W PINO G
DA Material Escritório;CALCULADORA ESCRITORIO
DA Material Escritório;SULFITE MAGNUM DIGITAL PCT 500 FOLHAS
DA Material Escritório;GRAMPO 26/6 GALVANIZADO C/5000 GOLDEN KRAFT
DA Material Escritório;CORRETIVO FITA JOCAR
DA Material Escritório;COLA A COLAPEL 1000 GR
DA Material Escritório;MARCA TEXTO CORES
DA Material Escritório;CALCULADORA ESCRITORIO
DA Material Escritório;PORTA LAPIS/CLIPS/LEMBRETE CRISTAL
DA Material Escritório;FITA MAQUINA SOMAR CALCULADORA
DA Material Escritório;GRAFITE PONTA LAPISEIRA
DA Material Escritório;LAPISEIRA
DA Material Escritório;BORRACHA ESCRITORIO
DA Material Escritório;TESOURA ESCRITORIO
DA Material Escritório;BOBINA TERMICA CALCULADORA
DA Material Escritório;ESTABILIZADOR ATF 750VA BIVOLT/110V EMPLAC F60011
DA Material Escritório;PEN DRIVE
DA Material Escritório;PAPEL HIGIENICO 
DA Material Escritório;BOMBOM CAIXA
DA Material Escritório;AÇUCAR CRISTAL 5 KILOS
DA Material Escritório;CAFE PACAEMBU
DA Material Escritório;COPO PLASTICO 180 ML 100 UND ECOCOPO
DA Material Escritório;COPO PLASTICO 180 ML 100 UND ECOCOPO
DA Material Escritório;ESTILETE
DA Material Escritório;SULFITE MAGNUM DIGITAL PCT 500 FOLHAS
DA Material Escritório;TECLADO USB KB101 LECOO
DA Material Escritório;SULFITE COPIA COLORIDA SIMPLES
DA Material Escritório;CALCULADORA ESCRITORIO
DA Material Escritório;CANETA ESFER BIC CRISTAL AVULSO
DA Material Escritório;PINCEL ATOMICO RECARREGAVEL AZUL
DA Material Escritório;CALCULADORA ESCRITORIO GENERAL 2117 REFORMA E REVISAO GERAL
DA Material Escritório;ETIQUETA ADESIVA ROLO 90X60
DA Material Escritório;PLACA SINALIZACAO 20X15 FEMININO/MASCULINO
DA Material Escritório;PLACA SINALIZACAO 20X15 FEMININO/MASCULINO
DA Material Escritório;SULFITE MAGNUM DIGITAL PCT 500 FOLHAS
DA Material Escritório;BLOCO RECADO ADESIVO POSTITI 38X50
DA Material Escritório;MARCA TEXTO CORES
DA Material Escritório;CLIPS 8/0 GOLDEN KRAFT CX 170 UNID
DA Material Escritório;CLIPS 2/0 GOLDEN KRAFT CX 720 UNID
DA Material Escritório;GRAMPO 26/6 GALVANIZADO C/5000 GOLDEN KRAFT
DA Material Escritório;PASTA L NEW LINE PCT 10 ESP 0,15
DA Material Escritório;PORTA LAPIS/CLIPS/LEMBRETE CRISTAL
DA Material Escritório;LAPIS ESCREVER 1205
DA Material Escritório;LAPISEIRA
DA Material Escritório;GRAFITE PONTA LAPISEIRA
DA Material Escritório;CANETA ESFER BIC CRISTAL AVULSO
DA Material Escritório;CADERNO 1X1 80 FOLHAS
DA Material Escritório;ENVELOPE 17x25 cx 250 UNID
DA Material Escritório;ARQUIVO MORTO PAPELAO PCT 25
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇOS DE CONTROLADORIA DE ACESSO
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇOS DE CONTROLADORIA DE ACESSO
DA Monitoramento e Segurança;SERVIÇOS PRESTADOS SJBV 02/2024
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO
DA Monitoramento e Segurança;MANUTENÇÃO SENSOR SETOR 8
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO DE VIGILANCIA E SEGURANÇA - 23/05 - 18:45HRS A 06:00HRS
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO
DA Monitoramento e Segurança;SERVICOS DE VIGILANCIA
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO
DA Monitoramento e Segurança;SERVICOS DE VIGILANCIA
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO
DA Monitoramento e Segurança;SERVICOS DE VIGILANCIA
DA Monitoramento e Segurança;SERVICOS DE VIGILANCIA
DA Monitoramento e Segurança;SERVICOS DE VIGILANCIA
DA Monitoramento e Segurança;SERVICOS DE VIGILANCIA
DA Monitoramento e Segurança;SERVICOS DE VIGILANCIA
DA Monitoramento e Segurança;SERVICOS DE VIGILANCIA
DA Monitoramento e Segurança;SERVICOS DE VIGILANCIA
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO DE CONTROLADORIA DE ACESSO 24 HRS
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO DE CONTROLADORIA DE ACESSO 24 HRS
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO DE CONTROLADORIA DE ACESSO 24 HRS
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO DE CONTROLADORIA DE ACESSO 24 HRS
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO DE MARJORAÇÃO DE CARGA HORARIA 03/2024 (FORTRESS)
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO DE MONITORAMENTO
DA Monitoramento e Segurança;PRESTAÇÃO DE SERVIÇO - MARJORAÇÃO DE CARGA HORARIA 04/2024 (FORTRESS)
DA Monitoramento e Segurança;SERVICOS DE VIGILANCIA
DA Monitoramento e Segurança;SERVICOS DE VIGILANCIA - REFERENTE À 12/2024
DA Monitoramento e Segurança;SERVICOS DE VIGILANCIA - MONITORAMENTO 12/2024
